评论内容,评论发布时间
所以呢？你能证实他是传染病？！在这里带什么节奏？！,2020-01-23 02:05
把车牌号码报给交警部门，整个监控系统会查出来的，不行报给警察就说有可疑武汉车辆进入市区，,2020-01-23 01:24
我他妈还看到鄂A开头的车来旅游 丽江今天还发现了3个病毒患者的武汉游客跟团去玉龙雪山………明知有病还出来旅游的是真的憨批吧……是想把人家都传染了才高兴吗……气死了,2020-01-23 01:36
太吓人了,2020-01-25 10:57
回复@飞天龙女:新年快乐，健康平安,2020-01-24 18:28
回复@鲸鱼的可爱喵:谢谢亲,2020-01-24 18:20
回复@飞天龙女:为了安全 损失一点也没办法了，欢迎下次来玩,2020-01-24 16:52
回复@鲸鱼的可爱喵:上午旅行社打电话说可以全额退机票了，这样损失能小点，两个人损失2460，说我们是第一个云南退团的,2020-01-24 15:09
回复@嘉九岁531:我真的搞不懂这些个憨批在想什么，多传染一个是一个吗……,2020-01-23 11:21
回复@飞天龙女:我也不是地域黑 但是我是真的怕了，云南欢迎你 但是在这种时候还是建议好好呆在家中避免人多出游吧,2020-01-23 11:17
回复@鲸鱼的可爱喵:真的吗亲，还想去云南玩，就怕碰上湖北的，不是地域黑，是真的害怕,2020-01-23 09:10
回复@狐狸煮关东:这就带节奏了？不警惕难道还欢迎吗？别什么都往自己身上拉，封闭武汉这个节奏带的才好，不说了吗，恳请市民理解！,2020-01-23 09:02
回复@ochoo_:不与傻子论长短,2020-01-23 03:19
回复@鲸鱼的可爱喵:广西现在都有三个武汉的患者，还是感冒的时候来，还拖几天,2020-01-23 03:17
回复@陪伴是最长情的告白92:做什么网络圣母呢，干什么对号入座呢，你是不是被感染了气急败坏啊，,2020-01-23 02:26
回复@陪伴是最长情的告白92:我寻思着你是审题不仔细？还是没读过书？我说是可疑！你这个人是有被迫害妄想症？你直接去精神病院看看吧,2020-01-23 02:18
所以呢？你能证实他是传染病？！在这里带什么节奏？！,2020-01-23 02:05
我他妈还看到鄂A开头的车来旅游 丽江今天还发现了3个病毒患者的武汉游客跟团去玉龙雪山………明知有病还出来旅游的是真的憨批吧……是想把人家都传染了才高兴吗……气死了,2020-01-23 01:36
把车牌号码报给交警部门，整个监控系统会查出来的，不行报给警察就说有可疑武汉车辆进入市区，,2020-01-23 01:24
好像像釜山行,2020-01-23 01:13
还有逃离到上海的简直了不可思议,2020-01-23 01:08
