评论内容,评论发布时间
中日韩三国悄悄形成命运共同体了,2020-02-20 02:59
论捐助物资的数量，韩国比日本多多了。,2020-02-20 02:21
谢谢！,2020-02-20 02:36
再不来中国，可能就被感染了！韩国没啥措施啊！,2020-02-23 13:40
回复@吃土的二点五次元girl:我也是文,2020-02-20 14:52
回复@扭力梁:唉，这个网络社会太让人无法理解了，我不知道谁是对错了，我还是保持中立，稍微向着自己的国家吧……太多声音，不知道该信哪个,2020-02-20 14:14
回复@我的面容和杀猪的人一样:精日的大V们都是领日本外务省钱的，他们负责在网上带节奏，调动其他精日分子跟着他们吹捧日本。只不过这次有些用力过猛了，有些讨嫌了。,2020-02-20 14:05
回复@Larenintheearth:高中分文理,2020-02-20 14:01
回复@被窝是青春的坟墓62431:日本人自己做的调查，日本民众对华没有好感的比例高达83%，日本捐助中国的主力是在日华人华侨留学生，驻日中资机构和企业，在华有业务的日本企业和与中国有友好城市关系的日本地方政府，日本民间人士反而很少。,2020-02-20 14:00
这时候还过来，给你点赞。无论为了什么，这份情承了,2020-02-20 10:27
共同体快出来！,2020-02-20 10:22
感谢,2020-02-20 10:19
回复@我的面容和杀猪的人一样:不是，口罩是捐给我们国人的，不说什么十分感谢，是个人都有点感触吧？和台湾比起来，日本人民还有那份心，有许多国家援助，大家都不是冷血动物，何必呢？,2020-02-20 09:27
回复@扭力梁:唉！日本普通民众不带太多的政治色彩吧！别老把别人想得太坏,2020-02-20 09:18
日韩风向转我大中国了，武汉事件让全世界看看我大中华的万众一心,2020-02-20 09:13
这邻居怎么说呢,2020-02-20 08:54
谢谢！,2020-02-20 08:35
！！！,2020-02-20 08:07
中国欢迎您，感谢朝国朋友的帮助,2020-02-20 07:56
这哥们儿威武  想起诗经写的：溯流而上  所谓佳人  在水一方。国内大城市  这是要转个遍吗,2020-02-20 07:30
回复@扭力梁:我感谢每一个在我国危难时伸出援手的国家,2020-02-20 07:12
谢谢这一次韩国的大力支持！,2020-02-20 07:07
中国加油,2020-02-20 06:54
感谢了,2020-02-20 06:47
回复@du心的世界:你可真聪慧,2020-02-20 06:44
谢谢,2020-02-20 06:42
谢谢韩国！,2020-02-20 06:35
感谢,2020-02-20 06:28
加油武汉……,2020-02-20 06:20
谢谢,2020-02-20 06:09
趁机会可以缓解一下中韩关系,2020-02-20 06:00
加油,2020-02-20 06:00
他们那些小国不管是哪一个国家，依附美国的 最后他们都知道自己只不过是个傀儡，可是和中国合作就不一样了，可以做自己！,2020-02-20 05:56
回复@吃土的二点五次元girl:初中到高中都学了六年政治。。。,2020-02-20 05:53
很精神一小伙,2020-02-20 05:51
加油啊,2020-02-20 05:02
回复@AWC_Penny:然而日本捐助后，一群吹鼓手过火式的宣传吹捧，告诉世人日本捐助中国背后目的不简单，这里面得寸进尺恰恰是日本。,2020-02-20 04:30
好邻居,2020-02-20 04:23
回复@漫漫清箩丶丿:哎呀他们这样宣传确实有点那啥，但是支援给我们的东西也是真的，我就是看不惯他这样带偏见的比来比去而已，别人给了帮助还嫌少哪有这样的道理,2020-02-20 04:20
回复@扭力梁:捐赠这种东西看心意就行了，别得寸进尺了……,2020-02-20 04:16
回复@漫漫清箩丶丿:他这种带了个人偏见的看法能叫政治角度吗？只是我删了一些评论所以你只看到他的就觉得他的是政治角度，我是文科生，学了6年政治的文科生！,2020-02-20 04:10
做善事得善报,2020-02-20 04:02
谢谢,2020-02-20 04:02
回复@吃土的二点五次元girl:然而决定利益的还有地缘政治，决定国与国之间关系还有实力。在今后相当长时间里，日本都不可能跟中国形成伙伴关系，这是地缘政治决定的。一个不可能成为伙伴的国家在想方设法不惜花费在你的民众中树立好形象，你当然要搞清楚它想从你这里得到什么利益。,2020-02-20 03:40
回复@吃土的二点五次元girl:正是因为铭记历史，所以才要心里有数，通过看清楚各国对中国的捐助背后的目的，真正知道那些国家是中国真正铁杆朋友和好伙伴，那些只是一般合作各取所需的朋友，那些干脆是敌人。,2020-02-20 03:21
回复@吃土的二点五次元girl:做好事不留名和做好事后四处宣扬，你觉得那个是更处于真心。日本捐助中国后，一群吹鼓手过火式的宣传，让人看出日本在帮助之外还有另一个目的，就是在中国人心中营造良好形象。相比于韩国俄罗斯白罗斯，日本捐助的目的确实那么单纯了。,2020-02-20 03:13
回复@扭力梁:那你都知道多少都是心意了还要拿韩国跟日本比  理智爱国好吗,2020-02-20 03:07
回复@吃土的二点五次元girl:捐助多少都是心意，不过微博上的吹鼓手们过度宣传就免了吧，吹捧过度了反而会起到反效果。,2020-02-20 03:04
中日韩三国悄悄形成命运共同体了,2020-02-20 02:59
回复@吃土的二点五次元girl:日本外务省每年都有海外宣传费用，559亿日元，对中国宣传还是重点，外务省自己都承认的事情。,2020-02-20 02:53
新任领事是个会来事的，求和态度很好,2020-02-20 02:51
回复@Omar041:dei！,2020-02-20 02:50
回复@Omar041:问题是微博上给日本捐助中国宣传的鼓吹手们用力过猛了，反而给日本方面讨嫌了。,2020-02-20 02:49
回复@吃土的二点五次元girl:你以为微博上那些天天宣传日本捐助中国如何如何善意的大V号们没有收外务省的钱吗？,2020-02-20 02:47
回复@Omar041:对的对的，心意最重要 希望日本也能早日稳定疫情,2020-02-20 02:46
回复@Cynics9:帮忙不在多少 心意才是重要 都是好邻居 也祝福他们,2020-02-20 02:44
回复@扭力梁:日本也不是自己宣传的好吧 而是我们中方报道的 目的是为了宣传中日友好关系 表示历史我们应该铭记但也不应该因为历史就根深蒂固的对他们抱有恶意,2020-02-20 02:37
谢谢！,2020-02-20 02:36
朦朦胧胧中……,2020-02-20 02:36
回复@吃土的二点五次元girl:问题是韩国人并没有像日本人那样满世界宣传自己捐助中国，让日本宣的就好像日本捐的物资最多一样。这样的宣传时间长了也讨嫌。,2020-02-20 02:33
转发微博,2020-02-20 02:33
回复@扭力梁:多少都是心意啊，不要寒了友人的心,2020-02-20 02:32
日報，還不睡呀，謝謝啦,2020-02-20 02:29
