微博id,发布者昵称,发布者性别,发布者地区,发布者关注数,发布者粉丝数,微博正文,原始图片url,发布时间,发布工具,点赞数,转发数,评论数,发布位置
IqJ7qo2HS,Edwina張,女,湖北,491,721,Edwina張:说实话，疫情看的越来越慌了。感觉被包围了，好怕！希望晚上不会噩梦  ,无,2020-01-23 00:59,iPhone客户端,1,0,0,无
IqJ7puHEm,-錦-InfinitiFx35,男,山东,859,185,-錦-InfinitiFx35:#武汉对进出城车辆及人员实施疫情排查#昨天在青岛遇到的武汉车辆。能追查吗？这可是跑到青岛了。 青岛  显示地图 原图 ,#武汉对进出城车辆及人员实施疫情排查#,2020-01-23 00:59,Redmi K20 Pro 尊享版,60,0,19,无
IqJ7p9f90,巴山居士61593,男,其他,211,1,巴山居士61593:国家卫生健康委会同相关部门联防联控 全力应对新型冠状病毒感染的肺炎疫情 http://t.cn/A6vD7Zr6  原图 ,无,2020-01-23 00:59,学习强国客户端,0,0,0,无
IqJ7p9f90,巴山居士61593,男,其他,211,1,巴山居士61593:国家卫生健康委会同相关部门联防联控 全力应对新型冠状病毒感染的肺炎疫情 http://t.cn/A6vD7Zr6  原图 ,无,2020-01-23 00:59,学习强国客户端,0,0,0,无
IqJ7oBnxD,你是我的吗11,女,其他,116,241,你是我的吗11:#春节出游打卡#好好在家吧，多注意疫情防护  ,无,2020-01-23 00:59,OPPO A9,1,0,0,无
IqJ7oxzS4,尽信书不如吴枢,男,浙江,113,57,尽信书不如吴枢:#新型肺炎已致湖北17人死亡#希望能很快控制住疫情🙏🙏🙏  ,无,2020-01-23 00:59,华为手机,0,0,0,无
IqJ7mx3FT,南山喃aaaa,男,陕西,455,64,南山喃aaaa:『新型肺炎疫情实时动态 - 人民日报·丁香园』http://t.cn/A6vss2P9  ,无,2020-01-23 00:59,Android客户端,1,0,0,无
IqJ7mvRxE,stan色涵涵,男,海外,454,3576,stan色涵涵:#武汉发布#请对武汉市长停职查办，根本无所作为！现在的疫情，还可防可控么？  ,无,2020-01-23 00:59,iPhone客户端,11,0,0,无
IqJ7lB2sA,创业先锋孙芳,女,其他,79,183,创业先锋孙芳:小动作，重在预防，保佑我们的疫情早日解除！ 咸阳·三原县  显示地图 原图 ,无,2020-01-23 00:59,vivo X23 AI非凡摄影,0,0,0,无
IqJ7k8r0k,维--Fighting--,女,河北,63,127,维--Fighting--:疫情来了医务工作者就成了“白衣天使”—不畏生死，不记报仇，疫情过去了他们就是“白狼”，多么讽刺呀。  ,无,2020-01-23 00:59,HUAWEI P20 Pro,0,0,0,无
